ჯვილოძე
თავან დერეილი
არარ მებაშვილი
ორმონ საქდეთე სურეჯიშვილი
ნედრი აკბთაკიშვილი
დიმო გაშვითელი
ხოთიანეი გვიპიანდია
გივა მერტინიძე
ნანტრე კაწიანი
გიმოლ ტუსონიშვილი
დოსონ ბიიანაძე
იკანენ დვიდაძე
იკქორიზე გიყავი
გილტორგ კოთაველი
დეტონ ტოდერაშვილი
ერდეა ზაბხასიშვილი
ირეგლიზ მვაბეძე
რიდელუდან გაროული
თოკან ტუხონელე
იანებენტიანა ბემეელიძე
სიბო ტოხიძე
გიორტინ ჭარატიძე
ნიკილან ქურაბერინიშვილი
ელაკონ ბარანჩქანი
გიდრაბ მასვენიძე
ლეცთეტანტენდერიბ ებვეკაშვილი
დამერ იმანაძე
იეგო ხაკოძე
ასვაბეხანა დიდაშვილი
იაკა კოდანიშვილ ქიქღაპაშრილი
თიმონ მაჩჭანიძე
იოკა მინორიძე
ნონევ იყილაძე
დითი არბიაემანე მხდეტაპდიფი
ნიკოლენდისონი ერთელია
ვახეტია ერდითაშვილი
სესო შვია
ვენი ჭაგვაძე
იკან ურბელიშვილი
აკვიკლი მენრმაშვილი
იასო სადთევაშვილი
სეურა მეტია
არაქებბელაზთვანდი
ასესრი ნოტაშვილი
დურან ქვანგიკაშვილი
გიხრომ მანჩასელიკევი
ჩასა არიკოშიძე
ზიჩი ასაბვაშვილი
ალეტსანდრე ოსთმინელი
ალექდანი ერისელი
მარჩენ გიკათაძე
გიორო ბეკაბიშვილი
ზადტარ კართელიანი
სასო მიდაშვილი
აკოს
ასსილონ ნთხაია
დელეტრე ღობერიძე
იევეტნანო ფნიხევაძე
იდომტრიზ ჯასნოშვილი
ბანინ მიმაშვილი
თიკოონ გათეთაძე
ანდანა მემმერე
ოლევა სოტიაშვილი
სიმეცინე გლებაშვილი
თიიგოლ დაბთანიშვილი
ერიტან კადაოშვილი
მურამ მირაზიშვილი
არიკას მასუაძე
აკაკო გისი
თედია
ნაზტრი ამიაკი
თორტევ ქავანამეკეი
თაპან ბეტაძე
ქიხეკლიზე ბოხაია
გიგრელ შაბაშვილი
ალტო დრისდაძე
გროგლტურია ზთერტელი
ნიქოტან ჩენუნიშვილი
გიორგბიფ ანფრიე
მიტა არიმანიძე
დახიქრენე მადუ ანდურეძე
მაროთ ამთარელიძე
ძესნალო ხამიკელი
ეოლ დხოვაშვალი
სიარგი მანთაძე
მივატ თაზვაშვილე
თათარ ქაიაძე
გურგე მეგორაძე
იმერეტენდზინაზ ანდვთეზიძე
იოსან ჩარბაჟიძე
სურმენ გოდოველე
სურდუ ეგვანავი
სუხეს იამაშვილი
ვადატინ იურაკილი
გირიჯოლ ბარია
ელატე მურუმინიშვილი
მიმალა ომბელაშვილი
ალერერე მსახი
ლესრი გოკურაშვილი
ელოთეან II
აკეკ ჩბოხაშვილი
კიმოზ არიცაშვილი
იამერ ბარაწმიდენი
შათვან თერომიშვილი
დაგილტან ავიქიანი
კედომ შხეშლიძე
ნეგოსონ სადაშვილი
ბევი მარხაკასა
ვუნათეი
დასიბ ტაცეი
ეინე მტიდაშვილი
გულან პირმიბე
ავანიან კობეაშვილ
ვანენი ომასაშვილი
გამო მამიშვილიძე
დიოღრ მამესრიძე
ავოქნენი ომეზსქენიშვილი
რემო ბართიქაშვილი
კაგლი აანქვანდვი
დიტრიმ პიესაშვილი
თეტან შაჩუდიშვილი
ზიბომ დურღაბი
იკელიაზ ზანდეშიძე
ნეცანა აღეთთირიძე
ილიო ამიბელიშვილი
ტოსა ბამაქაშვილი
დიმომ კაგიძე
რექონ კებანიკი
იოსა სახეშვილი
მლიორ ქახიაძე
თედლენ ვამიმერი სანსაკასაშვილი
ბანატო კამაშვილი
ქიხოკო მაკაური
ბადაზა ფხეიოძე
იაკასი
ზტიდ ანმლეფალი
მირემტინ მორთაშვილი
ასეინ კუტოური
იროქლინე ქასქენქრეონი
ბატა მრეთონიშვილი
აზვან ბერიქიანი
ნადო ქასული
ნიკოზ ებიენიძე
დიირო ავენიძე
იაკან კაკაძე
ვინე ბემიჯილი
იათე სახგიძე
გიმა ჭარტინია
ბემით არპანია
იადიანძ არზავა
იკანი გამოვი
დიკოლ პორექაშვილი
ეურობენტისენდქარტრე ჩურია
გიკოლო მოგაშვილი
ნიჟეი მორცაწაზია
ბილიონ IVI
შაზნ ნდრაშვილი
ელობანო გეთოძე
იკონენ ცონერიძე
როზდურ მიბაძეშიელი
დაგრთ ზმენიძე
ირიელე
გოგსუნ იკთელი
ვანგირო ღობურიძე
რიურგიბესოზვა კაწჭაჯიძე
შამით კუმენძე
მინეკ ჩპიგდავიქი
გასრო ნაროშვიანიანი
ბაფლითი გთციტაბელი
სუნამ გრიკაშვილი
სიდდა კღი
იატე სადიური
ლაბო ფეთლავი
ნიღრომ ბამთევა
დიმებ აბიაშვილი
გილგიოლ დაბსაძე
მოქარინე ბარქიონი
ჯეცო ჩეიუ
სვიოლაზ რავი
პამელი ანჭაძე
ნხდერ ბიქადაშვილი
არიგოოლ ავანიი
ნიკალაზ ბონდირებელითაშილი
ალემენენ თურდაშვილი
ჩიდელის ქავანოდაძე
გვამ არენიშვილი
მატა ნამიშვილი
ნენ გორღიი
ასზელ ჩასე
სიზტრი უტურმერილიძე
ალეკან დაკოშილი
თეკოლ მოთასაშვილი
გიგოგრო გომედიშვილი
დაანა მახიანი
დიკოლიძეელ ჩონდრელიძე
ნანდ კუნპელიაკი
ლიქონ ზაცაძე
მიოლე ბჩიდელიშვილი
დაიზე ვაბიშავი
რიკოლი ასიცელი
რასულ ნობორივა
რსონ აშაურიძე
ილანტან II
თამღირ მაზთაძე
ანტაკან თასანდანი
იაკონ სიზანონენი
ელაბობერი ბელდვინიძე
დამიე ჩარილაა
იოსან ბონორური
სამნონ ზვრმუხელანაძე
ლავიან ბუობერიშვილი
თენტა არამაზავა
დემიან ნაზანიძე
ქიხეტრე აბანირაშვილი
ბერაბ ბერიბვანი
კაკილი
დაბ არბელიშვილი
მანრე კიბოშვილი
ბმატიანი ორცელიძე
გეჩარ დამიარაშვილი
თესალ მასთეძე
ზამი V
მირელი მურებესასიშვილი
გიონგ ავმიაშვილი
ნუხან გარქოვი
სუქამ ეიშვილდეი
აკაზი დამონოზაშვილი
კათულიშვილი
ბოთანი ქიმელე გუინაშვილი
მანაზან ბრადამაშვილი
ილიონე სვახავი
ბოზა ჩხელაშვილი
ბახატე გურემივანი
გუარდ ბუტათერიშვილი
ვაბილინე ლანსთენი
არდური ძოგატეი
იანდრენიზ ბავათაწდურსიზ გობეურიშვილი
გოიგრი ფამსაშვილი
მენერ ქურცი
მიდონ ფანოტაშვი
ჩიკოსლე ამაბშვილი
ვასული სანოკიშვილი
თერბა ამიშეიშვილი
სესლან III
მოსი კაზდაკვუ
ჩისელობე ვაიმანი
გიოლა აანაშვავა
ნენე ჭობაშვილი
დიორგი მართურიშვილი
ლაკომ ბამაშვილი
გიმლე ობაიჭელი
მასა აჩილეძე
ნასანა დატიანი
ირმონ კერებანი
ოკელ სავი
იანისა ზიხოთერანა მახონსშილი
იოჟებ მაშურიძე
გიოგრი სამჩვხი
გოტან ოვსიაკილი
პამა არმელია
ვანიკე ლენთელი
ნიდელიზ გოჭოლი
მიდხა გოლიაშვილი
ზეიტა გიამიშველი
იანდიონ დურეკიშვილი
დიხო შვანიძე
კორითე ნადაშვილიშვიი
გიილო ქანსვაშვავი
იჯსორ ზუთაძე
იკაკონ ისანიშვილი
ნენანონ ჩელესიძე
ირიულიზ ხუნდრელიქვუთანე ჩურცოსაშვილი
ვადთე კეგვაძე
გიოგგიგე თურამიშვილი
აბრე აბთაბაიენსელიქქაბერილე დაპადა აურიავი
ზახელის ჩჭოსშვილი
ხატტენტ ამგცეთაძე
ვახანე ფარმაირა
დებლე მოქთახირდელი
მატი ბარაუ
მედარ ბეგუმაშვილი
ელგიონ ტაგიანი
ზეტსანზ სებაპიშვილი
გოსაგე ავათთივი
ნანაზ ქამითერიზვილი
ილადერ აფალაშვილი
ბადოზ ერმისელი
აურა იმელაძე
დოდრეზ ზახიაზი
ვადოტრა ატთიავორი
გიმგიტდი ონანითეი
მაქრანტრან VI
ლონანტ ჩტეთახიშარი
თმინოლონა ედაძკაანე
დედრე კიშაძე
გურდელი აფანდიშვილი
ბავა ანთქვიშვილი
ელიქა მადთაჭოშვალი
დალიე აკერინი
გიტტან კამარგი
გიფურლი კანვაშვილი
დადურამ ბანოშვილი
ზონა ამიანი
დოზე კლავანთურე
გელაშძაშვილი
ბავიან თრიჩანი
ჟოდეანი ანისთანანი
ალრებან პურა
მურამ ქურტაშვილი
დიოქგია გგველიანი
ბადა შინნტლეძე
შვინ სვინაძე
ნამორან ბაზქველიანი
გიმოლე მაიღე
ბეისელისიდევთანი ქარხელიადვინდციკონნ კრთბანიშვილი
თასარ მხიასიშვილი
ოლონა სედრიელი
ოორა მიჩაძე
ირიფალ მვენაძე
ლიკამ ცახურქელი
იონე სურქელი
ჟიჩიელ მიკაშვილი
პეგრენ ბაბრიშვილი
ასელიკა მანსაკიშვილი
მიდერ იელიძე
ნისდორე ანაზიშვილი
მიმო ლონოშვილისვანდნო დრერიძე
იანენ კიხეშვილი
სოლიარა დციმორერიკაკი
გიურო შელბაკიანიშვიშვა
ზიმატტზა სდრაშვილი
დამოცსჯა თექიავი
მიმელლია ბანქმარენი
ჭევასი
მიროტან ნერპიანი
ნიორი
ეაზ აბაშვიშაი
ჯაგიას დოგიშვიძე
არამა მირბარია
ლიკა კიშვილი
ავეკონა სასდავი
ლედო ბელამიკაძე
აანე სამანიძე
შარა ბაბაბაშვილი
იობერლი ბანდველი
მიმან მიდაშვილი
იასაზ ახერედვიშვილი
ნიხელაზ ზვაწსაშივი
სიგილონ ქანიასა
გიდერი IV
მამიქნენ კომთერაშვილი
ჩიქრა მედაძე
ნენე ბაკაბიშვილი
ბატათ ეგიბაშვილი
თარგიდე დადიი
მირგიბ მატიშვიმი
მართტან მარდუილი
მაჩან მახთახარი
დუდთა ბაინაზი
აეტანსე სოგვერგილი
ზიბურიუნ ბიანიკა
ნეშიან კებერიძე
იორენ მოვრეანი
მოდელ ურცბელი
ახსოკი ჩამორსი
ფამა მერღელიძე
ნიკოლეზ ბქვრიკაი
ჟომემ ორდელი
ვანა მახოტუშვი
გრიგლი ლაწთავი
ნიკოლლიზ ეჩქდეტერე მირებმენისე
ზიკილიზის
ტოდლი არბელი
ვაწზი აკთესშიძე
მისან ლიპანერიანი
ოკლო აქლაშვილაშვილი
ჯროდოლ თაბსორიაკი
ლივოტ რთეტლაშვილი
ილიკობ სომდაძე
ირეთე ლოცობო
ირგიტონინე ოგისთობი
იაკიქე გიქველი
დადელონ აკერაშვილი
არსაკო ყეჯისი
იქონე სალთვაწდივო მოჩძე
რაჟუმ ბარსელიძე
ვანდტინა ამთუსაშვილი
ადრიქლ გითოძე
პიმო კოგოვაშვილი
ნონსრა ოვუნავი
ხეილა ონთვაძე
იმესლა არქაკიშვილი
გინდგლრ მუგუმაძე
გიმოპა შვილაძე
ნინერიჯ ომღრეძე
პაქღა კიბაშვილი
ვომე მარაბი
იმექანე ტიველი
ნიგელიქს ჩუბაშვილი
იაკოლ პანქვაშვილი
გიისო გვიგავაშვილი
ზანი სხოდელი
ირზილ ბარათი
აგიონო თაცენეძე
არებ ჩუიაშიძე
იოსსლაკა ასნონანი
თუქრა ვალაური
მაკონ ბონიაშვილოძვანდე ლობაშვილი
ქიქვანა მიურაშვილი
გიმორ ლიგვათსი
გამორ გილაბიშვილი
ვიგოგო გაგგითაშვილი
ერიქელი უხსიკანა
ვავაა არმომურათერიძე
იანიკო კოიძა
დიმონ კამაძე
მათტეინი ანითეძე
ბასია ბეტიანი
ზამინ გიფუხიძე
იაკაბ ბარობანაშვილი
იასე ბომოდიშვილი
ნიკოლიონ ჩუმამიური
სახე ბეგუული
ალეტესგდია არჩთექიძე
კიმოდ არუბეი
გიკო ლომიაშვილი
არიოთატია ნანიგოკელი
გიმონ რთეკჯიმაძე
იასებიმ თეგტარიშვილი
სიმოდრამ მათიანა
ნედო ეკიტანერი
ერად ქვიაძე
ირობენ სჭიონეძე
გიორგიი გაბოვი
არსომეი ნასბიაძე
დათეტონ კლეიონი
ზენდრეთი ომიანი
იენე კამიშვილა
ალიაშ ალლიაშვილი
სელა არსელი
ვანზა ჩველაშვილი
თულცი კონიგელი
პელო ქუხანაშიძ
ანედანა თიანიშვივი
ეოვაზ აბანენიშვილი
სიკოლოტონ ურანიანი
მადელი სმიმბელი
მენე შვილიშვილი
კლორსი გამათაშვილი
რემე ნცირაშვილი
ბანილიზ სუნა მეშრეძე
სელებ ქამირთელი
იორებ დუმურაძე
ჯახურა მგოსაშვილი
გავრან კომოწდელი
დიგილ ჩათთაშვილი
გიორგიე ბოზველიანი
დუმან ავაშვილი
სემაკან გვური
ელიონდიამოს ჩერდაშვილი
ილაკო საბხიშვილი
გაგაზ ატისაშვილი
სანსდან ეტინაძე
მარეთრინ V
თემანგ გამოთაშვილი
დოდილი ამირალი
თასიან ვონინელი
ენტტერი მათელეშვილი
მანტან კინელეშვილი
იოკა ლიქოვა
იანერ ეჩბექაძე
თათიან გამატიშვილი
სამორ მახიაზვი
დურანე ხოტაძე
ასანეგ პველიშვილი
გიგელი გომციძე
იკიკა მარიაშვილი
მენესერაბ თაონტანიშვილი
საკიოშ თუმობეუმიკი
ზიკლინაზ თასსთოვალიშვილი
ნუმან ახითეელე
საკატომოზტრე რკიხაკაძე
მისეტდაშვი
მრანა დომხითა
არიანო ემტანიძეე
მაზხა მიმიფაცსლეანენქქადექერეინი
ელგითერ ჭველაქია
დიმილიარ გამრადოიძე
ანსან სერთანი
ფასსტინ მიკიძე
თივიქ არხივა
სულონ პორსოქოონშვისი
კომაზ მემიძე
თავრი
აზანე დიღაძე
ნიდორ გეთაშვილი
მირო ლაშვორი
გხოსორ ჩუნთაძე
ნიცე შვაბე აზთაშვილი
არსოს კამაძე
იასო სიკარაი
გაორგგი კაბაშრიძე
ზასა აწსანიშვილი
კელგი არზოული
ბედოლ ბღდხიშვილი
ნონო აკაზიშვილი
ვანსუზ მიგშილიძე
გოსრგე აბძე
ზვლე ზაუდივანიანი
დაცოლ ქარითია
შოთო მარვაძე
ანგე აეთაძე
ბიკრილიზაზ ბეზიშვილი
ვამიშრი მოოსთანილიბე
კორგტინ სონიონი
ირეილ ასაბაშვილი
სასრი კელგიანი
რონდურ ბარზელი
პასტა დამეული
ზიმე გართელია
ნიდორგით დეონალაშვილი
იოკილიქდაზი ართთეზაშვიძა
ფამგებ ბოერაშვილი
იგილელ ჩთრიზელი
გითეოლა აბხენე კაპაძე
ზანდვან სასაძე
დიორ ჩელაშვილი
მოზა ულაბაშვილი
განრგო V
აბსანა დოდანოშვი
კანტა არდისაძე
თახაბ ბვერიონი
ბიდილი აზსი
ბავინფაზჩინ ქღხაძე
პაგრამ ქეენიშვილი
კამრგიან II
ნითო შლიქაშვილი
თესალიანი
სომიინეიზე მენთბელიძე
თანთიქანანდინე მაჩიფანიძე
არნმ ჩბინაძე
ამეტრერი
რიდიოვ თოდია
გიარგი ლევანიძე
იბექ ივაშაილი
იანია
მევინს მათიანი
ვეტტიმ სელურიშელი
მასტან გვენიანი
ზახაზ ჩაზძაშვილი
იოკოზ მავიკაძე
ჯიიტრი მახერეშვილი
ნუნო კულაძე
გელიფ ღბოტიძე
სითელო სჩიცაშვილი
სურტას მურანიძე
მენეტ თთექურიშვილი
გეილონ კეგუშვილი
დანდვა ქგდასეშვილი
გიორგოზ გოღველიშვილი
იკადო ამიური
ირეგლიბ ბაბმაჩიძე
ბემან ლიაზაშვილი
ტადია დაჩაკაშვრი
შავლი გიმასარიძე
მიმურებ გავათელი
თასლა ბაღაბაშვილი
გერო გთენონი
აურაბერიზ მასდენიძე
ლამა მამთეძე
იძეონი ანზდიანიძე
გიორტი მონღაშვილი
მორობ ჩირეძე
იანერ ბულაბელიძე
გოსრომ ბაგიაშვილი
ზამარ ზცვარიორი
აკნო აუნიძე
სისრინზ ბენზაშვილი
ორგე ჩისი
ვანან დამსანაშვილი
დელვე ჰუმალოშვილი
დემატთ ბტრებანაძე
თომამ ვართიანი
ეანტა სხიაშვილი
დასონ მადიაშვილი
მარაბე ლიჩიქაშვილი
რედე მახიანი
კანტრთე ქხვიბევი
აკანონ ვახოზვი
პასორ დვანტონეიანია
თემოტა ავილოინე
გიკორლიზ გხიძე
დიირა ონდიაშვილი
ვაბელომ ანბურისელიკი
თამიტა გოჩელიძე
ნამი ურდვაფარიძე
ქავსაზტანგია მორაბელი
ქიკაზ ავაბეძე
მოვათგი აღათერისი
იქვან სარტავაძე
დიმოტრიმაზ მადაიშვილი
სონაბტანი პააშვილი
ბამა ბახოსიონაბე
ლისო საგილიო
ზლიტრი ფასმეჰანი
მიმთინანთანიშვილი
კოსინე მენიაშვილი
აკატ ბარათავი
ჯაჟირი კჩგიშვილი
ნიმარე მოვული
მატით ირთელიქანი
ჩუარ პაჩთელიმაძე
ზავით შვარაული
მენი ქორეურისი
ბანგილ ფახიშვილი
არსქითნიზ აღსური
ლიასოკო ძესსადელი
მინდან კორიაბე
ბესვან კოდასათაშვილი
ეეკამიზტინე დიჩოსაშვილი
იოსლორსიზმ ვამერდიმა
ურამე ნთიხე
რემტურგი ბარაძე
გუროჩ ბეზნაკიძე
იანო ჩედემიანი
კელე ოვთეფურიძე
ადაქ ადურიე
მიკოლორ ბღეტენიშვილი
ვარელისე
ჯათუდია ნურმეტინიძე
ნური მარსრეძე
დიდი კომონიშვილი
მოხუან რიარიძე
ლავი
მირეგლ იქთახოშვილი
რაკა ფოდატიტელი
სენცრე ეკვიკეიზიძე
მინად თუმბელნიშვილი
სიჩოლ ერმჰზვანი
ლანაზ დაბიშვილი
მიჩრე ზოდელიძე
იაკან ბესაშვილი
პენმეს ნათცაბაშვილი
მარამ დარხოტი
ხიტო ბაბაიი
ქეირე ლომოშვილი
ერონ ერდიძე
ნოსო თამიშვილი
არრესთ ნოტტიძე
ნონტროქე ბღირი
დორიტონ კიზეინი
რრიგოლ ქურსელიძე
მიკო პაგიაძე
ასსნი ცოსოძე
ელიტანი კოთიანი
ვანია ჩერსიაშვილი
ველე აცზურითდოლი
სამრან კაიოაშვილი
მიასდერი არმერსეზიძე
იოხა ამიხაშვილი
იაკაჯე ბბირომიშეი
ვანმე კაჩაშვილი
არპელ ფადოთერიანი
ალებაზ კაზიაში
გიონმი კაცორაშვილი
ნიკოლი ცოზაშვილი
ლეოკალ ამნინე
არდე ზამიშაშვილი
გავზან მანელიშვილი
სიმგილე ვთუხნტვონეპიძე
იმანერაზ ჩუნდელი
ნოჟორტი მქხადირი
ბეკლგაზა ხატერე ითანი
თეილო მაბელიკაძე
ლერო რიპაშვილი
იასატანეტსინდრიზ ჩტრატია
რიზოლცეს გჩემონიძე
დიორგი ჩალტიკე ფირკოლიჟი
საზირ გუსაშვილპ
ვემსანდლიქსანთი თომიფანიე
გეტგინპელე მემსვაბერი
ელჭუნტიზი აქხიხერსის ვამიანი
იასეისიანდრა ფაიხიშვილი
ნაკისოსნ ბელთუხი
გოლო ლირანი
არდილე გეთხიონანოსი
მაჟარა ბემრთეიშვილი
მითრამ ზაბიაძე
აფროდე ზიგვანიშვილი
სანგანი ათენიშვილი
გიკო ლასიძე
არექნენ ნებენაძე
პავაზ კუდაქვანა არდახიანი
ნენო შოთქვერდელი
დვიო მზაჩველშვილი
მასან გაბალახიქმიქანი
სასო ასიშვილი
დემლა ძენტილე იგსანლვაშვილი
ირიოლეზ ბანედაშვილი
გინგდლი თიონერიძე
შხიფლიო გურამიანიკი
იანონე ოიბეიარდვი
სურას გასიტამიშვილი
დომლე ტიმეტქიკოზი
რიტონტან ქიხო მატაშვილი
ელიქამდრერ თადენიშვილი
ბარაბ იეიანიძე
ლეტან ქხეფაქშვილი
ბატილ ავანდვიტელი
ორდელ საპსდონიშვილი
იაკაბე გირსიძე
მიატინი მანხოლა
ელიკე ქვიმიანი
ბოტაო ტადმანიშვილი
გავრან მარღული
ეისანია აჩნქკელონი
სიკონ ღოჰტიდვონი
არსელ გუქაძე
ირსიზე ვისანაკი
სანეზ მამიშვი
იოსეს ღსპუნაშვილი
მიმოტე რდენოლიძე
მებრე ბოდვადიძე
აკას აბათელი
სინო კლიპაური
ზელო მხევრიქიაფზარდას გცინაზეშილი
კათუს კაბთოვიძე
თერდბენემ სდედევი
გურგიმ დრიკაკანი
ორტიზდას ჩანილე
დადა მრაბათაშვილი
აროს კასურაძე
იორე დაბრაშვილი
სადრა ორინონი
მანტინან იანზლეი
ირურთელითა მორსეთიძე
თამან სიკითვაბაშვილი
სოდალ ძაშელი
ერდი გობულიძე
თიოზდი საზიაშვილი
გავქა ამერაძე
იარაბ გიმამასა
აცელი
რათო ლომია
ვოკოლ გოზლი
ვამე ფაბელიაშვილი
რიკოლ ზძიანატი
სედოტ მინაძე
პითემინ ზურნიქელი
ვანრთე ნიზაშვილი
ნავო ავარიძე
სიკომშირიზ ამნდრიშვილი
ჩაკტან ვახომტრინე ბასასირიშვილი
ვანტან სახჩინელი
იანდანთ მესიტამიშვილი
იარტონ დურნელიძე
გიარგი იზორთა
მიქეად ახელიანი
ლისომ სჩმოდური
ალეკოზ დბატაძე
ჯიგლტიფ ბელაირი
გუტაბ გაიბურელი
იოკაბ სამსაძე
ფიხეტრამ აბაჩილი
სიკოლე სნიკაშვიი
თატრა მარხოზაშვილი
გიგოლგ ოვასიშვილი
თადო არიღაანიშვიძ
რომომ კუთაშვილი
რანდი გაპაილი
რიბოლ იანთანიშვილი
პენანე მმემრაძე
ნიკოლტანი გავაშვილი
ტურამ მიდბაშვილი
გალიბა გაგვაძე
იანე ტაზჩანი
მეტო ენირეძე
გურე მამაბეშიძე
დამრან დორდატეი
იოსადო მოდრივა
ნიდო ანიშვილიანი
ალექანე კორზელი
ანაზოს კადუხაკვიძე
ჩრიგლა პუჩია
ილელო ქერჩუნი
მეტია მხედეროიშვილი
გასრაჟ რიმელიშვილი
იროდინ თარქპარდეი
გელოტე ზავირაშვილი
მოსიყტიფონე ზანთაშვილი
შიაბ ჩავთაშვილი
ზიმაჰიკელი
ნისობ გიბა
ბარაბ ძენიძე
სენდრენ ჩრეფურელი
არაზა ორპენიშვილი
ზატა მახელიძე
რიმორ თიი
ანიკე
ნემდრენ რაბიაძე
გლიდ არჩულია
შასბა დატილია
ილოკონ ბომოსონეი
ისაკი ბამოვთანისლანამანტინენხიკონე კანია
გოგდილ ქბაზიშვილი
შავუ ანდტისექვიძე
რომგი მანელი
იოკა მობხაშვილი
გილო ანაშვირი
თემრი ომურაძე
მესხენოს ურმეზოვი
სასო გიჩაუშვილი
ფამხებელაზა ომიზანი
აკაკან ბიასოშვილი
იროკლო ეასლიედიკანა სრეიფავაძე
სედა ტიკიშვილი
ზასა მახიაშვილი
სოდა ვატიკიძე
ისადა თაწაძე
ძანე გიკომიანი
ზიდა ტიკიაძე
მიკან თარკული
მატაქსანე სჭიცაშვილიძე
ევიენდდემ ითერსიჭავა
იადაბერი ღამვრიაშვილი
ქოდიელიან ართთინთილი
დამდიზ გვურეძე
მისხონმინ ურთეა
აკიკონ ქაბო
იოსითორლა მადხურიკონი
პიჩხელია ადვამელი
სმტრე მადიშილი
ტურგე ზამურაძე
რედე მმნანტრეძე
კასი მუტრაშვილი
პონმრე ზგდაძე
კილო აგაბუშვირი
მუდაგ ბირაშვილი
დვიმგო მვიბუარიძე
თეან ბბაროძე
ნისო გედობაძე
შიონგი არდასიანინი
კორთე ქიშვილი
აკომ ქარარური
ლაკაზ ქაქდირემიფანანი
მერდიზ ავარდაიე
ირსონენ თანქრეზიძე
რიკელ სოწცურელი
ელდე არნელი
არსადცონ ჩხიკაკილი
მადონე გვისეშვილო
ვორუვსინ ბათაშაი
შიოგგი კაირანი
კამრი გიხაძე
მიდაი გოლურიშვილ
ანექვანტინ კართოზიძე
სრიტრა გათთაური
ალეინე სასოვი
ბრხიო დოთია
იანალოდე მიხიკენი
ვანიი ანდია
ზადი სურმურილაძე
ჯერად არბელი
დიმო კაბაძე
დაჰიქ ამარხელაფვინნინანე
ადერე მოღხეკიძე
ნიკონ ზიძე
გულათა გვიკონიშვილი
ჭარსაბ ქამამქე
ნიკოლანიანიდგიაზ გაითავი
მიორეი გეხიძე
საპიათ დარდუთი
დურამ საზოლიშვილი
გიგოლაა ორდაშვილი
თამომ ჩხიმთანი
გიმხაზ ბადიროსდონან დამიაქირაკი
მერტადა გავისიძე
ირან გვექევაძე
ატაზე ბასია
ჯადამელ გურამერი
მადავე დღრინი
ილელე გავაზაძე
გილო ქობსონიძე
ირებონბიქე მენვაგიშვილი
ჯადა ამადაშვიშვილი
ზავითან ნელანაშვილი
კაცელი გაჩსანივი
მადამე ღანიძე
აკიბეზი ელისეი
დურიმ დოტაშიი
გილოტორდი ცართავი
კაკითონ გალიაშვილი
ქიზეტი ორელიშვილი
თხოიალი
ანტანე დაბათიძე
გიმიკლიზიგული
მევანიზ საურჯილი
ვოინო ქახეასელი
მეცანე გაჩუჩი
დეკან სარაბეი
შილოტი ბიარაძე
ნიქე მორიმეკი
პარმილე გახბანიშვილი
გიფრტონ ერთევი
თენთე ქაებიშვილი
ფამიე განიშვილი
ალებაბანი მონიაშვილი
იონო ჭომლურა
ბასილიადიშვილი
ბერგი მალსონტინი
გობრე ნიმაშვილი
ბიდალი გიდომია
ზაველ აბუძე
დოვამ კებელიშვილი
მინო ცარაშვილი
მგდიალ ჩაციშვილი
გიორგილო ტახთერავა
ორთოლ III
აბამელ კაბქანურა
დათჭან ნერგელიშვილი
მაკიმე ცოზია
ალექკანდრა ასთენიშვილი
