id,line,chapter,chapter_id,strophe_id,line_id
1.9.4,და ჩემმან ხელმქმნელმან დამმართოს ლაღმან და ლამაზმა ნები.,დასაწყისი,1,9,4
1.10.1,თვალთა მისგან უნათლოთა ენატრამცა ახლად ჩენა;,დასაწყისი,1,10,1
1.10.2,"აჰა, გული გამიჯნურდა, მიჰხდომია ველთა რბენა.",დასაწყისი,1,10,2
1.10.3,"მიაჯეთ ვინ, ხორცთა დაწვა კმა არს, მისცეს სულთა ლხენა,",დასაწყისი,1,10,3
1.10.4,და სამთა ფერთა საქებელთა ლამის ლექსთა უნდა ვლენა.,დასაწყისი,1,10,4
1.11.1,"რაცა ვის რა ბედმან მისცეს, დასჯერდეს და მას უბნობდეს:",დასაწყისი,1,11,1
1.11.2,"მუშა მიწყივ მუშაობდეს, მეომარი გულოვნობდეს;",დასაწყისი,1,11,2
1.11.3,"კვლა მიჯნურსა მიჯნურობა უყვარდეს და გამოსცნობდეს,",დასაწყისი,1,11,3
1.11.4,"და არცა ვისგან დაიწუნოს, არცა სხვათა უწუნობდეს.",დასაწყისი,1,11,4
1.12.1,"შაირობა პირველადვე სიბრძნისაა ერთი დარგი,",დასაწყისი,1,12,1
1.12.2,"საღმრთო, საღმრთოდ გასაგონი, მსმენელთათვის დიდი მარგი,",დასაწყისი,1,12,2
1.12.3,"კვლა აქაცა ეამების, ვინცა ისმენს კაცი ვარგი,",დასაწყისი,1,12,3
1.12.4,"და გრძელი სიტყვა მოკლედ ითქმის, შაირია ამად კარგი.",დასაწყისი,1,12,4
1.13.1,"ვითა ცხენსა შარა გრძელი და გამოსცდის დიდი რბევა,",დასაწყისი,1,13,1
1.13.2,"მობურთალსა მოედანი, მართლად ცემა, მარჯვედ ქნევა,",დასაწყისი,1,13,2
1.13.3,"მართ აგრევე მელექსესა ლექსთა გრძელთა თქმა და ხევა,",დასაწყისი,1,13,3
1.13.4,და რა მისჭირდეს საუბარი და დაუწყოს ლექსმან ლევა.,დასაწყისი,1,13,4
1.14.1,"მაშინღა ნახეთ მელექსე და მისი მოშაირობა,",დასაწყისი,1,14,1
1.14.2,"რა ვეღარ მიჰხვდეს ქართულსა, დაუწყოს ლექსმან ძვირობა,",დასაწყისი,1,14,2
1.14.3,"არ შეამოკლოს ქართული, არა ქმნას სიტყვა-მცირობა,",დასაწყისი,1,14,3
1.14.4,"და ხელ-მარჯვედ სცემდეს ჩოგანსა, იხმაროს დიდი გმირობა.",დასაწყისი,1,14,4
1.15.1,"მოშაირე არა ჰქვიან, თუ სადმე თქვას ერთი, ორი,",დასაწყისი,1,15,1
1.15.2,თავი ყოლა ნუ ჰგონია მელექსეთა კარგთა სწორი;,დასაწყისი,1,15,2
1.15.3,"განაღა თქვას ერთი, ორი, უმსგავსო და შორი-შორი,",დასაწყისი,1,15,3
1.15.4,"და მაგრა იტყვის: “ჩემი სჯობსო”, უცილობლობს ვითა ჯორი.",დასაწყისი,1,15,4
1.16.1,"მეორე ლექსი ცოტაი, ნაწილი მოშაირეთა,",დასაწყისი,1,16,1
1.16.2,"არ ძალ-უც სრულ-ქმნა სიტყვათა გულისა გასაგმირეთა, -",დასაწყისი,1,16,2
1.16.3,ვამსგავსე მშვილდი ბედითი ყმაწვილთა მონადირეთა:,დასაწყისი,1,16,3
1.16.4,"და დიდსა ვერ მოჰკვლენ, ხელად აქვს ხოცა ნადირთა მცირეთა.",დასაწყისი,1,16,4
1.17.1,"მესამე ლექსი კარგია სანადიმოდ, სამღერელად,",დასაწყისი,1,17,1
1.17.2,"სააშიკოდ, სალაღობოდ, ამხანაგთა სათრეველად;",დასაწყისი,1,17,2
1.17.3,"ჩვენ მათიცა გვეამების, რაცა ოდენ თქვან ნათელად.",დასაწყისი,1,17,3
1.17.4,"და მოშაირე არა ჰქვიან, ვერას იტყვის ვინცა გრძელად.",დასაწყისი,1,17,4
1.18.1,"ხამს მელექსე ნაჭირვებსა მისსა ცუდად არ აბრკმობდეს,",დასაწყისი,1,18,1
1.18.2,"ერთი უჩნდეს სამიჯნურო, ერთსა ვისმე აშიკობდეს,",დასაწყისი,1,18,2
1.18.3,"ყოვლსა მისთვის ხელოვნობდეს, მას აქებდეს, მას ამკობდეს,",დასაწყისი,1,18,3
1.18.4,"და მისგან კიდე ნურა უნდა, მისთვის ენა მუსიკობდეს.",დასაწყისი,1,18,4
1.19.1,"ჩემი აწ ცანით ყოველმან, მას ვაქებ, ვინცა მიქია;",დასაწყისი,1,19,1
1.19.2,"ესე მიჩნს დიდად სახელად, არ თავი გამიქიქია!",დასაწყისი,1,19,2
1.19.3,"იგია ჩემი სიცოცხლე, უწყალო ვითა ჯიქია;",დასაწყისი,1,19,3
1.19.4,"და მისი სახელი შეფარვით ქვემორე მითქვამს, მიქია.",დასაწყისი,1,19,4
1.20.1,"ვთქვა მიჯნურობა პირველი და ტომი გვართა ზენათა,",დასაწყისი,1,20,1
1.20.2,"ძნელად სათქმელი, საჭირო გამოსაგები ენათა,",დასაწყისი,1,20,2
1.20.3,"იგია საქმე საზეო, მომცემი აღმაფრენათა;",დასაწყისი,1,20,3
1.20.4,"და ვინცა ეცდების, თმობამცა ჰქონდა მრავალთა წყენათა.",დასაწყისი,1,20,4
1.21.1,"მას ერთსა მიჯნურობასა ჭკვიანნი ვერ მიჰხვდებიან,",დასაწყისი,1,21,1
1.21.2,"ენა დაშვრების, მსმენლისა ყურნიცა დავალდებიან,",დასაწყისი,1,21,2
1.21.3,"ვთქვენ ხელობანი ქვენანი, რომელნი ხორცთა ჰხვდებიან;",დასაწყისი,1,21,3
1.21.4,"და მართ მასვე ჰბაძვენ, თუ ოდეს არ სიძვენ, შორით ბნდებიან.",დასაწყისი,1,21,4
1.22.1,"მიჯნური შმაგსა გვიქვიან არაბულითა ენითა,",დასაწყისი,1,22,1
1.22.2,მით რომე შმაგობს მისისა ვერ მიხვდომისა წყენითა;,დასაწყისი,1,22,2
1.22.3,"ზოგთა აქვს საღმრთო სიახლე, დაშვრების აღმაფრენითა,",დასაწყისი,1,22,3
1.22.4,და კვლა ზოგთა ქვე უც ბუნება კეკლუცთა ზედან ფრფენითა.,დასაწყისი,1,22,4
1.23.1,"მიჯნურსა თვალად სიტურფე ჰმართებს, მართ ვითა მზეობა.",დასაწყისი,1,23,1
1.23.2,"სიბრძნე, სიმდიდრე, სიუხვე, სიყმე და მოცალეობა,",დასაწყისი,1,23,2
1.23.3,"ენა, გონება, დათმობა, მძლეთა მებრძოლთა მძლეობა;",დასაწყისი,1,23,3
1.23.4,"და ვისცა ეს სრულად არა სჭირს, აკლია მიჯნურთ ზნეობა.",დასაწყისი,1,23,4
1.24.1,"მიჯნურობა არის ტურფა, საცოდნელად ძნელი გვარი;",დასაწყისი,1,24,1
1.24.2,"მიჯნურობა სხვა რამეა, არ სიძვისა დასადარი:",დასაწყისი,1,24,2
1.24.3,"იგი სხვაა, სიძვა სხვაა, შუა უზის დიდი მზღვარი,",დასაწყისი,1,24,3
1.24.4,"და ნურვინ გარევთ ერთმანერთსა, გესმას ჩემი ნაუბარი!",დასაწყისი,1,24,4
1.25.1,"ხამს მიჯნური ხანიერი, არ მეძავი, ბილწი, მრუში,",დასაწყისი,1,25,1
1.25.2,"რა მოშორდეს მოყვარესა, გაამრავლოს სულთქმა, უში,",დასაწყისი,1,25,2
1.25.3,"გული ერთსა დააჯეროს, კუშტი მიჰხვდეს, თუნდა ქუში;",დასაწყისი,1,25,3
1.25.4,"და მძულს უგულოდ სიყვარული, ხვევნა, კოცნა, მტლაშა-მტლუში.",დასაწყისი,1,25,4
1.26.1,ამა საქმესა მიჯნური ნუ უხმობს მიჯნურობასა:,დასაწყისი,1,26,1
1.26.2,"დღეს ერთი უნდეს, ხვალე სხვა, სთმობდეს გაყრისა თმობასა.",დასაწყისი,1,26,2
1.26.3,"ესე მღერასა ბედითსა ჰგავს ვაჟთა, ყმაწვილობასა,",დასაწყისი,1,26,3
1.26.4,"და კარგი მიჯნური იგია, ვინ იქმს სოფლისა თმობასა.",დასაწყისი,1,26,4
1.27.1,"არს პირველი მიჯნურობა არ დაჩენა, ჭირთა მალვა,",დასაწყისი,1,27,1
1.27.2,"თავის-წინა იგონებდეს, ნიადაგმცა ჰქონდა ხალვა,",დასაწყისი,1,27,2
1.27.3,"შორით ბნედა, შორით კდომა, შორით დაგვა, შორით ალვა,",დასაწყისი,1,27,3
1.27.4,"და დათმოს წყრომა მოყვრისაგან, მისი ჰქონდეს შიში, კრძალვა.",დასაწყისი,1,27,4
1.28.1,ხამს თავისსა ხვაშიადსა არვისთანა ამჟღავნებდეს;,დასაწყისი,1,28,1
1.28.2,"არ ბედითად ჰაი ზმიდეს, მოყვარესა აყივნებდეს;",დასაწყისი,1,28,2
1.28.3,"არსით უჩნდეს მიჯნურობა, არა სადა იფერებდეს,",დასაწყისი,1,28,3
1.28.4,"და მისთვის ჭირი ლხინად უჩნდეს, მისთვის ცეცხლსა მოიდებდეს.",დასაწყისი,1,28,4
1.29.1,"მას უშმაგო ვით მიენდოს, ვინ მოყვარე გაამჟღავნოს,",დასაწყისი,1,29,1
1.29.2,"ამის მეტი რამცა ირგო, მას ავნოს და თვითცა ივნოს,",დასაწყისი,1,29,2
1.29.3,"რათამცაღა ასახელა, რა სიტყვითა მოაყივნოს,",დასაწყისი,1,29,3
1.29.4,და რა ჰგავა თუ მოყვარესა კაცმან გული არ ატკივნოს!,დასაწყისი,1,29,4
1.30.1,"მიკვირს, კაცი რად იფერებს საყვარლისა სიყვარულსა!",დასაწყისი,1,30,1
1.30.2,"ვინცა უყვარს, რად აყივნებს მისთვის მკვდარსა, მისთვის წყლულსა!",დასაწყისი,1,30,2
1.30.3,"თუ არ უყვარს, რად არა სძულს, რად აყივნებს, რაცა სძულსა?!",დასაწყისი,1,30,3
1.30.4,"და ავსა კაცსა ავი სიტყვა ურჩევნია სულსა, გულსა.",დასაწყისი,1,30,4
1.31.1,"თუ მოყვარე მოყვრისათვის ტირს, ტირილსა ემართლების;",დასაწყისი,1,31,1
1.31.2,"სიარული, მარტოობა ჰშვენის, გაჭრად დაეთვლების;",დასაწყისი,1,31,2
1.31.3,"იგონებდეს, მისგან კიდე ნურაოდეს მოეცლების,",დასაწყისი,1,31,3
1.31.4,"და არ დააჩნდეს მიჯნურობა, სჯობს, თუ კაცსა იახლების.",დასაწყისი,1,31,4
2.32.1,"იყო არაბეთს როსტევან, მეფე ღმრთისაგან სვიანი,",ამბავი როსტევან არაბთა მეფისა,2,32,1
2.32.2,"მაღალი, უხვი, მდაბალი, ლაშქარ-მრავალი, ყმიანი,",ამბავი როსტევან არაბთა მეფისა,2,32,2
2.32.3,"მოსამართლე და მოწყალე, მორჭმული, განგებიანი,",ამბავი როსტევან არაბთა მეფისა,2,32,3
2.32.4,"და თვით მეომარი უებრო, კვლა მოუბარი წყლიანი.",ამბავი როსტევან არაბთა მეფისა,2,32,4
2.33.1,"სხვა ძე არ ესვა მეფესა, მართ ოდენ მარტო ასული,",ამბავი როსტევან არაბთა მეფისა,2,33,1
2.33.2,"სოფლისა მნათი მნათობი, მზისაცა დასთა დასული;",ამბავი როსტევან არაბთა მეფისა,2,33,2
2.33.3,"მან მისთა მჭვრეტთა წაუღის გული, გონება და სული,",ამბავი როსტევან არაბთა მეფისა,2,33,3
2.33.4,და ბრძენი ხამს მისად მაქებრად და ენა ბევრად ასული.,ამბავი როსტევან არაბთა მეფისა,2,33,4
2.34.1,"მისი სახელი თინათინ, - არს ესე საცოდნარია!",ამბავი როსტევან არაბთა მეფისა,2,34,1
2.34.2,"რა გაიზარდა, გაივსო, მზე მისგან საწუნარია.",ამბავი როსტევან არაბთა მეფისა,2,34,2
2.34.3,"მეფემან იხმნა ვაზირნი, თვით ზის ლაღი და წყნარია,",ამბავი როსტევან არაბთა მეფისა,2,34,3
2.34.4,"და გვერდსა დაისხნა, დაუწყო მათ ამო საუბნარია.",ამბავი როსტევან არაბთა მეფისა,2,34,4
2.35.1,"უბრძანა: “გკითხავ საქმესა, ერთგან სასაუბნაროსა:",ამბავი როსტევან არაბთა მეფისა,2,35,1
2.35.2,"რა ვარდმან მისი ყვავილი გაახმოს, დაამჭნაროსა,",ამბავი როსტევან არაბთა მეფისა,2,35,2
2.35.3,იგი წავა და სხვა მოვა ტურფასა საბაღნაროსა;,ამბავი როსტევან არაბთა მეფისა,2,35,3
2.35.4,"და მზე ჩაგვისვენდა, ბნელსა ვსჭვრეტთ, ღამესა ჩვენ უმთვაროსა.",ამბავი როსტევან არაბთა მეფისა,2,35,4
2.36.1,"“მე გარდასრულვარ, სიბერე მჭირს, ჭირთა უფრო ძნელია,",ამბავი როსტევან არაბთა მეფისა,2,36,1
2.36.2,"დღეს არა, ხვალე მოვკვდები, სოფელი ასრე მქმნელია;",ამბავი როსტევან არაბთა მეფისა,2,36,2
2.36.3,"რაღაა იგი სინათლე, რასაცა ახლავს ბნელია!",ამბავი როსტევან არაბთა მეფისა,2,36,3
2.36.4,"და ჩემი ძე დავსვათ ხელმწიფედ, ვისგან მზე საწუნელია”.",ამბავი როსტევან არაბთა მეფისა,2,36,4
2.37.1,"ვაზირთა ჰკადრეს: “მეფეო, რად ბრძანე თქვენი ბერობა!",ამბავი როსტევან არაბთა მეფისა,2,37,1
2.37.2,"ვარდი თუ გახმეს, ეგრეცა გვმართებს მისივე ჯერობა:",ამბავი როსტევან არაბთა მეფისა,2,37,2
2.37.3,"მისივე ჰმეტობს ყოველსა სული და ტურფა ფერობა,",ამბავი როსტევან არაბთა მეფისა,2,37,3
2.37.4,და მთვარესა მცხრალსა ვარსკვლავმა ვითამცა ჰკადრა მტერობა!”,ამბავი როსტევან არაბთა მეფისა,2,37,4
2.38.1,"“მაგას ნუ ბრძანებთ, მეფეო, ჯერ ვარდი არ დაგჭნობია,",ამბავი როსტევან არაბთა მეფისა,2,38,1
2.38.2,თქვენი თათბირი ავიცა სხვისა კარგისა მჯობია:,ამბავი როსტევან არაბთა მეფისა,2,38,2
2.38.3,"ხამს განაღამცა საქმნელად, რაცა თქვენ გულსა გლმობია;",ამბავი როსტევან არაბთა მეფისა,2,38,3
2.38.4,"და სჯობს - და მას მიეც მეფობა, ვისგან მზე შენაფლობია”.",ამბავი როსტევან არაბთა მეფისა,2,38,4
2.39.1,"“თუცა ქალია, ხელმწიფედ მართ ღმრთისა დანაბადია;",ამბავი როსტევან არაბთა მეფისა,2,39,1
2.39.2,"არ გათნევთ, იცის მეფობა, უთქვენოდ გვითქვამს კვლა დია;",ამბავი როსტევან არაბთა მეფისა,2,39,2
2.39.3,შუქთა მისთაებრ საქმეცა მისი მზებრ განაცხადია;,ამბავი როსტევან არაბთა მეფისა,2,39,3
2.39.4,"და ლეკვი ლომისა სწორია, ძუ იყოს, თუნდა ხვადია”.",ამბავი როსტევან არაბთა მეფისა,2,39,4
2.40.1,"ავთანდილ იყო სპასპეტი, ძე ამირ-სპასალარისა,",ამბავი როსტევან არაბთა მეფისა,2,40,1
2.40.2,"საროსა მჯობი, ნაზარდი, მსგავსი მზისა და მთვარისა,",ამბავი როსტევან არაბთა მეფისა,2,40,2
2.40.3,"ჯერ უწვერული, სადარო ბროლ-მინა საცნობარისა;",ამბავი როსტევან არაბთა მეფისა,2,40,3
2.40.4,და მას თინათინის შვენება ჰკლევდის წამწამთა ჯარისა.,ამბავი როსტევან არაბთა მეფისა,2,40,4
2.41.1,გულსა მისსა მიჯნურობა მისი ჰქონდა დამალულად;,ამბავი როსტევან არაბთა მეფისა,2,41,1
2.41.2,"რა მოჰშორდის, ვერ მჭვრეტელმან ვარდი შექმნის ფერ-ნაკლულად;",ამბავი როსტევან არაბთა მეფისა,2,41,2
2.41.3,"ნახის, ცეცხლი გაუახლდის, წყლული გახდის უფრო წყლულად.",ამბავი როსტევან არაბთა მეფისა,2,41,3
2.41.4,"და საბრალოა სიყვარული, კაცსა შეიქმს გულ-მოკლულად!",ამბავი როსტევან არაბთა მეფისა,2,41,4
2.42.1,"რა მეფედ დასმა მეფემან ბრძანა მისისა ქალისა,",ამბავი როსტევან არაბთა მეფისა,2,42,1
2.42.2,"ავთანდილს მიჰხვდა სიამე, ვსება სჭირს მას აქ ალისა;",ამბავი როსტევან არაბთა მეფისა,2,42,2
2.42.3,"თქვა: “ზედაზედა მომხვდების ნახვა მის ბროლ-ფიქალისა,",ამბავი როსტევან არაბთა მეფისა,2,42,3
2.42.4,"და ნუთუ მით ვპოვო წამალი მე ჩემი, ფერ-გამქრქალისა!”",ამბავი როსტევან არაბთა მეფისა,2,42,4
2.43.1,არაბეთს გასცა ბრძანება დიდმან არაბთა მფლობელმან:,ამბავი როსტევან არაბთა მეფისა,2,43,1
2.43.2,"“თინათინ ჩემი ხელმწიფედ დავსვი მე, მისმან მშობელმან:",ამბავი როსტევან არაბთა მეფისა,2,43,2
2.43.3,"მან გაანათლნეს ყოველნი, ვით მზემან მანათობელმან!",ამბავი როსტევან არაბთა მეფისა,2,43,3
2.43.4,"და მოდით და ნახეთ ყოველმან შემსხმელმან, შემამკობელმან!”",ამბავი როსტევან არაბთა მეფისა,2,43,4
2.44.1,"მოვიდეს სრულნი არაბნი, ჯარი განმრავლდა ხასისა.",ამბავი როსტევან არაბთა მეფისა,2,44,1
2.44.2,"ავთანდილ პირ-მზე, სპასპეტი ლაშქრისა ბევრ-ათასისა,",ამბავი როსტევან არაბთა მეფისა,2,44,2
2.44.3,"ვაზირი სოგრატ, მოახლე მეფისა დასთა დასისა;",ამბავი როსტევან არაბთა მეფისა,2,44,3
2.44.4,"და მათ რომე დადგეს საჯდომი, თქვეს: “უთქმელია ფასისა!”",ამბავი როსტევან არაბთა მეფისა,2,44,4
2.45.1,"თინათინ მიჰყავს მამასა პირითა მით ნათელითა,",ამბავი როსტევან არაბთა მეფისა,2,45,1
2.45.2,დასვა და თავსა გვირგვინი დასდგა თავისა ხელითა;,ამბავი როსტევან არაბთა მეფისა,2,45,2
2.45.3,მისცა სკიპტრა და შემოსა მეფეთა სამოსელითა.,ამბავი როსტევან არაბთა მეფისა,2,45,3
2.45.4,და ქალი მზებრ უჭვრეტს ყოველთა ცნობითა ზე-მხედველითა,ამბავი როსტევან არაბთა მეფისა,2,45,4
2.46.1,"უკუდგეს და თაყვანი სცეს მეფემან და მისთა სპათა,",ამბავი როსტევან არაბთა მეფისა,2,46,1
2.46.2,"დალოცეს და მეფედ დასვეს, ქება უთხრეს სხვაგნით სხვათა,",ამბავი როსტევან არაბთა მეფისა,2,46,2
2.46.3,ბუკსა ჰკრეს და წინწილანი დაატკბობდეს მათთა ხმათა,ამბავი როსტევან არაბთა მეფისა,2,46,3
2.46.4,"და ქალი ტირს და ცრემლსა აფრქვევს, ჰხრის ყორნისა ბოლო-ფრთათა.",ამბავი როსტევან არაბთა მეფისა,2,46,4
2.47.1,"მამისა ტახტსა საჯდომად თავი არ ეღირსებოდა,",ამბავი როსტევან არაბთა მეფისა,2,47,1
2.47.2,"ამად ტირს, ბაღი ვარდისა ცრემლითა აივსებოდა;",ამბავი როსტევან არაბთა მეფისა,2,47,2
2.47.3,"მეფე სწვრთის: “მამა ყოველი ძისაგან ითავსებოდა,",ამბავი როსტევან არაბთა მეფისა,2,47,3
2.47.4,და ამისად ქმნამდის დამწველი ცეცხლი არ დამევსებოდა”.,ამბავი როსტევან არაბთა მეფისა,2,47,4
2.48.1,"უბრძანა: “ნუ სტირ, ასულო, ისმინე ჩემი თხრობილი:",ამბავი როსტევან არაბთა მეფისა,2,48,1
2.48.2,"დღეს შენ ხარ მეფე არაბეთს, ჩემგან ხელმწიფედ ხმობილი.",ამბავი როსტევან არაბთა მეფისა,2,48,2
2.48.3,"აქათგან ესე სამეფო შენი არს მართ მონდობილი,",ამბავი როსტევან არაბთა მეფისა,2,48,3
2.48.4,"და ხარმცა ბრძნად მქმნელი საქმისა, იყავ წყნარი და ცნობილი!”",ამბავი როსტევან არაბთა მეფისა,2,48,4
2.49.1,"“ვარდთა და ნეხვთა ვინათგან მზე სწორად მოეფინების,",ამბავი როსტევან არაბთა მეფისა,2,49,1
2.49.2,დიდთა და წვრილთა წყალობა შენცა ნუ მოგეწყინების;,ამბავი როსტევან არაბთა მეფისა,2,49,2
2.49.3,"უხვი ახსნილსა დააბამს, იგი თვით ების, ვინ ების.",ამბავი როსტევან არაბთა მეფისა,2,49,3
2.49.4,"და უხვად გასცემდი, ზღვათაცა შესდის და გაედინების”.",ამბავი როსტევან არაბთა მეფისა,2,49,4
2.50.1,“მეფეთა შიგან სიუხვე ვით ედემს ალვა რგულია;,ამბავი როსტევან არაბთა მეფისა,2,50,1
2.50.2,"უხვსა ჰმორჩილობს ყოველი, იგიცა, ვინ ორგულია;",ამბავი როსტევან არაბთა მეფისა,2,50,2
2.50.3,"სმა-ჭამა, - დიდად შესარგი, დება რა სავარგულია?",ამბავი როსტევან არაბთა მეფისა,2,50,3
2.50.4,"და რასაცა გასცემ - შენია, რას არა - დაკარგულია!”",ამბავი როსტევან არაბთა მეფისა,2,50,4
2.51.1,"ამა მამისა სწავლასა ქალი ბრძნად მოისმინებდა,",ამბავი როსტევან არაბთა მეფისა,2,51,1
2.51.2,"ყურსა უპყრობდა, ისმენდა, წვრთასა არ მოიწყინებდა;",ამბავი როსტევან არაბთა მეფისა,2,51,2
2.51.3,"მეფე სმასა და მღერასა იქმს, მეტად მოილხინებდა;",ამბავი როსტევან არაბთა მეფისა,2,51,3
2.51.4,"და თინათინ მზესა სწუნობდა, მაგრა მზე თინათინებდა.",ამბავი როსტევან არაბთა მეფისა,2,51,4
2.52.1,"მოიხმო მისი გამზრდელი, ერთგული, ნაერთგულევი,",ამბავი როსტევან არაბთა მეფისა,2,52,1
2.52.2,"უბრძანა: “ჩემი საჭურჭლე, შენგან დანაბეჭდულევი,",ამბავი როსტევან არაბთა მეფისა,2,52,2
2.52.3,"მომართვი ჩემი ყველაი, ჩემი ნაუფლისწულევი”.",ამბავი როსტევან არაბთა მეფისა,2,52,3
2.52.4,"და მოართვეს; გასცა უზომო, უანგარიშო, ულევი.",ამბავი როსტევან არაბთა მეფისა,2,52,4
2.53.1,"მას დღე გასცემს ყველაკასა სივაჟისა მოგებულსა,",ამბავი როსტევან არაბთა მეფისა,2,53,1
2.53.2,რომე სრულად ამოაგებს მცირესა და დიდებულსა.,ამბავი როსტევან არაბთა მეფისა,2,53,2
2.53.3,"მერმე ბრძანა: “ვიქმ საქმესა, მამისაგან სწავლებულსა,",ამბავი როსტევან არაბთა მეფისა,2,53,3
2.53.4,და ჩემსა ნუ ვინ ნუ დაჰმალავს საჭურჭლესა დადებულსა”.,ამბავი როსტევან არაბთა მეფისა,2,53,4
2.54.1,"უბრძანა: “წადით, გახსენით, რაცა სად საჭურჭლენია!",ამბავი როსტევან არაბთა მეფისა,2,54,1
2.54.2,"ამილახორო, მოასხი რემა, ჯოგი და ცხენია!”",ამბავი როსტევან არაბთა მეფისა,2,54,2
2.54.3,"მოიღეს; გასცა უზომო, სიუხვე არ მოსწყენია.",ამბავი როსტევან არაბთა მეფისა,2,54,3
2.54.4,"და ლარსა ჰხვეტდიან ლაშქარნი, მართ ვითა მეკობრენია.",ამბავი როსტევან არაბთა მეფისა,2,54,4
2.55.1,"ალაფობდეს საჭურჭლესა მისსა, ვითა ნათურქალსა,",ამბავი როსტევან არაბთა მეფისა,2,55,1
2.55.2,"მას ტაიჭსა არაბულსა, ქვე-ნაბამსა, ნასუქალსა,",ამბავი როსტევან არაბთა მეფისა,2,55,2
2.55.3,"რომე ჰგვანდა სიუხვითა ბუქსა, ზეცით ნაბუქალსა;",ამბავი როსტევან არაბთა მეფისა,2,55,3
